,Name,Gender,Age,Ethnicity,Family_Status,Number_Caretakers,State_Caretakers,Number_Siblings,Order_Among_Siblings,State_Residence,Country,State_Country,State,State_State,State_School,State_Teachers,State_Classmates,Academic_Level,Grade,Academic_Passion,Years_Failed,Commute_Distance,Commute_Method,Commute_Duration,State_Commute,Work,Work_Type,State_Work,Dropout
0,Storm Madsen,male,36,Asian,Abandonned,4,8,2,1,4,Denmark,9.620000000000001,Hovedstaden,1,8,5,10,A−,10,1,3,6.8,walking,408,4,True,family business,4,False
1,Gordoslav Bosik,male,59,Arab,Adopted,4,9,3,3,5,Ukraine,2.875,Ivano-Frankivska,2,3,6,4,B,12,6,2,1.5,metro,22,4,True,repetitive labour,7,True
2,آرمیتا محمدخان,female,36,Black,extended family,1,3,4,3,1,Iran,6.721,خراسان رضوی,1,5,10,10,B−,3,6,1,9.2,train,78,5,False,,,False
3,Daryl Chambers,male,50,Hispanic,biological family,1,7,4,4,4,Australia,9.183,New South Wales,4,6,5,10,A,2,9,1,2.0,taxi,13,7,True,family business,5,True
4,Bilogost Drizhenko,male,71,White,biological family,3,3,3,2,1,Ukraine,2.875,Odeska,1,5,1,1,A−,M1,4,1,1.8,walking,108,2,False,,,True
5,Stanley Lynch,male,46,White,Adopted,4,9,4,4,5,Ireland,8.085,Louth,3,7,4,3,D+,L1,3,0,1.2,bus,11,8,False,,,False
6,Beverley Prescott,female,75,Hispanic,biological family,2,2,3,3,6,United States,5.951,Georgia,2,6,6,10,A+,6,7,0,2.1,bus,21,8,True,hobby,10,False
7,William Lévesque,male,48,White,biological family,2,3,4,1,4,Canada,5.103,Newfoundland and Labrador,1,3,5,7,A,10,3,0,5.9,metro,88,10,False,,,False
8,Zoe Mcdonalid,female,76,Black,extended family,3,4,3,2,6,United Kingdom,6.064,Grampian,6,2,6,5,B−,7,10,3,13.1,train,112,7,False,,,False
9,Quentin Charles,male,28,White,Abandonned,4,2,4,1,6,France,8.690000000000001,Guyane,6,10,3,4,B−,L1,3,3,4.4,metro,66,4,True,repetitive labour,1,False
10,Jar Walters,male,35,Arab,step family,3,10,3,1,9,Australia,9.183,Queensland,8,6,1,6,C,9,6,1,2.9,car,17,7,True,family business,7,False
11,Werner Nieborg,male,47,Asian,Adopted,5,8,2,2,1,Netherlands,9.464,Zeeland,3,6,9,3,D−,8,1,0,4.3,taxi,28,1,True,repetitive labour,4,True
12,Anna Campos,female,70,Hispanic,biological family,1,9,2,2,7,Spain,7.491,Canarias,2,3,3,8,A,1,8,3,13.4,taxi,89,4,False,,,True
13,Nataniel Poulsen,male,44,Black,step family,1,8,1,1,8,Norway,8.392,Sogn og Fjordane,1,3,5,7,B,L2,2,3,10.7,car,64,1,True,hobby,2,False
14,Andy Deschamps,male,61,Arab,Adopted,5,7,3,2,8,Switzerland,9.571,Neuchâtel,8,7,4,1,D+,2,9,3,11.6,bus,116,6,False,,,True
15,Elian Doornkamp,male,68,Hispanic,biological family,5,4,2,1,3,Netherlands,5.464,Groningen,3,4,1,10,B−,M2,1,3,24.5,motorbike,147,6,True,family business,5,True
16,Ema da Mata,female,34,Hispanic,step family,2,1,2,1,3,Brazil,5.33,Santa Catarina,2,9,2,1,C+,4,2,0,3.6,bicycle,36,9,False,,,False
17,Željko Simeonović,male,74,Black,biological family,3,6,1,1,6,Serbia,4.078,Peć,4,1,2,6,F,L3,8,3,23.5,taxi,156,9,True,craftsmanship,9,False
18,Apollinariya Nikolyuk,female,49,Hispanic,Abandonned,2,6,3,3,2,Ukraine,2.875,Mikolayivska,1,2,6,9,D,8,2,1,14.9,car,89,10,False,,,True
19,Sheryl Rose,female,30,Black,Adopted,4,6,3,3,7,Ireland,9.085,Clare,1,6,5,10,D,2,8,3,5.6,walking,336,1,False,,,True
20,Joshua White,male,70,Hispanic,Adopted,5,2,1,1,1,New Zealand,7.277,Northland,4,4,10,1,D−,M1,10,2,1.1,motorbike,6,3,False,,,False
21,Petter Takvam,male,55,Hispanic,extended family,3,6,2,2,2,Norway,9.392,Trøndelag,6,5,5,3,B+,11,1,3,6.5,metro,97,2,False,,,True
22,Lucas Zhang,male,77,Arab,extended family,1,10,1,1,2,New Zealand,6.277,Wellington,6,2,2,2,C+,12,2,0,8.3,taxi,55,2,True,hobby,7,True
23,Socorro Barros,female,34,White,Abandonned,4,5,4,2,6,Brazil,5.33,Mato Grosso do Sul,5,4,9,4,D−,4,9,1,1.6,taxi,10,3,False,,,True
24,Hanni Hollmann,male,55,Arab,step family,5,9,2,2,1,Germany,8.155000000000001,Baden-Württemberg,6,10,10,2,C−,L2,6,0,2.8,bus,27,3,False,,,True
25,Léon Francois,male,34,Hispanic,Adopted,2,10,2,1,9,France,7.69,Loire-Atlantique,4,10,4,7,D−,9,10,3,20.0,train,171,7,False,,,False
26,Stella Leclercq,female,59,Hispanic,biological family,4,2,3,1,5,France,7.69,Sarthe,4,2,10,1,B,5,3,1,6.4,train,54,10,False,,,True
27,Thomas Gonzales,male,67,Black,step family,2,9,1,1,5,United States,7.951,New Jersey,6,5,10,10,B−,1,9,2,2.3,motorbike,13,2,True,family business,4,False
28,Ellen Jordan,female,61,Arab,Abandonned,5,6,2,2,4,Ireland,9.085,Laois,7,9,4,3,B,3,10,1,1.2,bus,11,8,False,,,False
